Name,Address,Phone,ContactName,EmailAddress,Website,Details,Services,AgeRequirements,OperationTime
Cottonwood Senior Center,1336 Metcalf StCottonwood AL 36320,(334) 691-3491,Kasey Morris,cottonwd@graceba.net,http://www.cottonwoodalabama.com,Cottonwood Senior Center provides a great opportunity for our seniors to come together and enjoy each others company while playing games in our center or performing one of many activities we engage on weekly basis. We go bowling every Wednesday; go out to eat every second Monday of the month and play BINGO several times per month.,,Hot Meals; Home Delivered Meals; Transportation; Card Games; Quilting; Crafts; Exercise Sessions; Valentine Day Party; Christmas Party,,Mon - Fri: 9:00 am - 2:00 pm
Crane Hill Senior Center,15059 County Rd 222Crane Hill AL 35053,(256) 747-6241,Rhonda Brewer,NOMAIL,http://www.cullmancoa.com,Cullman County Senior Centers are a valuable asset to each community. The Cullman County Commission and the Commission on Aging appreciates the retirees and seniors of Cullman County for helping establish this strong sense of community that we all enjoy. This fact makes these community centers a vital part of our responsibility. Stop by one and you will see arts crafts meals music and more,,Arts; Crafts; Meals; Music,,Mon - Fri: 8:00 am - 1:00 pm
Crossville Senior Center,94 Gaines StreetCrossville AL 35962,(256) 528-7562,Teresa Tomlinson,NOMAIL,"data-table",,,Nutrition Services; Health Promotion/Fitness Programs; Transportation; Education Activities; Local Information/Referral Services; Arts &amp; Crafts,60+ years,Mon - Fri: 8:00 am - 12:00 pm
Center Hill Senior Center,12650 County Rd 747Cullman AL 35055,(256) 352-5845,Ellen Dillashaw,NOMAIL,http://www.cullmancoa.com,Cullman County Senior Centers are a valuable asset to each community. The Cullman County Commission and the Commission on Aging appreciates the retirees and seniors of Cullman County for helping establish this strong sense of community that we all enjoy. This fact makes these community centers a vital part of our responsibility. Stop by one and you will see arts crafts meals music and more,,Arts; Crafts; Meals; Music,,1st Wed: 8:00 am - 1:00 pm
Cullman Senior Center,1539 Sportsman Lake Rd NWCullman AL 35055,(256) 734-0145,Kristie McCarn,NOMAIL,http://www.cullmancoa.com,Cullman County Senior Centers are a valuable asset to each community. The Cullman County Commission and the Commission on Aging appreciates the retirees and seniors of Cullman County for helping establish this strong sense of community that we all enjoy. This fact makes these community centers a vital part of our responsibility. Stop by one and you will see arts crafts meals music and more,,Arts; Crafts; Meals; Music,,Mon - Fri: 8:00 am - 1:00 pm
Fairview Senior Center,660 Welcome RoadCullman AL 35058,(256) 796-5424,Angie Carter,NOMAIL,http://www.cullmancoa.com,Cullman County Senior Centers are a valuable asset to each community. The Cullman County Commission and the Commission on Aging appreciates the retirees and seniors of Cullman County for helping establish this strong sense of community that we all enjoy. This fact makes these community centers a vital part of our responsibility. Stop by one and you will see arts crafts meals music and more,,Covered-Dish; Games; Rook; Dominoes,,Mon - Fri: 8:00 am - 1:00 pm
Good Hope Senior Center,134 Town Hall DriveCullman AL 35057,(256) 739-3757,Jackie Gentry,NOMAIL,http://www.cullmancoa.com,Cullman County Senior Centers are a valuable asset to each community. The Cullman County Commission and the Commission on Aging appreciates the retirees and seniors of Cullman County for helping establish this strong sense of community that we all enjoy. This fact makes these community centers a vital part of our responsibility. Stop by one and you will see arts crafts meals music and more,,Music; Games; Rook; Dominoes; Wii Bowling; Covered-Dish Lunch,,Wed: 8:00 am - 1:00 pm
Hilltop Senior Center,1545 Vine Circle SWCullman AL 35055,,Steve Sides,NOMAIL,http://www.cullmancoa.com,Cullman County Senior Centers are a valuable asset to each community. The Cullman County Commission and the Commission on Aging appreciates the retirees and seniors of Cullman County for helping establish this strong sense of community that we all enjoy. This fact makes these community centers a vital part of our responsibility. Stop by one and you will see arts crafts meals music and more,,Games; Fellowship; Rook; Lunch; Wii Bowling,,Tues
Jones Chapel Senior Center,96 County Road 960Cullman AL 35057,(256) 747-1420,Jo Fowler,NOMAIL,http://www.cullmancoa.com,Cullman County Senior Centers are a valuable asset to each community. The Cullman County Commission and the Commission on Aging appreciates the retirees and seniors of Cullman County for helping establish this strong sense of community that we all enjoy. This fact makes these community centers a vital part of our responsibility. Stop by one and you will see arts crafts meals music and more,,Arts; Crafts; Meals; Music,,Wed: 8:00 am - 1:00 pm
Simcoe Senior Center,4225 AL Hwy 69Cullman AL 35058,(256) 352-2429,Dinah Thomas,NOMAIL,http://www.cullmancoa.com,Cullman County Senior Centers are a valuable asset to each community. The Cullman County Commission and the Commission on Aging appreciates the retirees and seniors of Cullman County for helping establish this strong sense of community that we all enjoy. This fact makes these community centers a vital part of our responsibility. Stop by one and you will see arts crafts meals music and more,,Arts; Crafts; Meals; Music,,Wed: 10:00 am - 2:00 pm
Beulah Senior Center,1741 Lee Road 270Cusseta AL 36852,(334) 749-5928,Carolyn Davis,NOMAIL,http://www.lrcog.com/,Centers serve as a community focal point where an array of services and programs can be channeled to individuals who are 60 or older. The service is free but donations are accepted.,,Social Activities; Nutrition Education; Health Counseling; Consumer Education; Recreation and Exercise; Hot Meals; Information and Referral,60+ years,
Dadeville Senior Nutrition Center,116 Kids CourtDadeville AL 36853,(256) 825-7455,Betty Smith,NOMAIL,http://www.cityofdadevilleal.org/,The Dadeville Senior Nutrition Center is located in the Dadeville Recreation Center near the Elementary School.,,Dominoes Rook Bingo etc.,60+ years,
Daleville Senior Center,18 Old Newton RdDaleville AL 36322,(334) 598-9197,Laura Leger,NOMAIL,http://www.dalevilleal.com,The Daleville Senior Center is truly a home away from home for active outgoing adults age 60+.,There is no cost to become a member.,Congregate Meals; Homebound Meals; Bingo Games; Hands on Craft Projects; Gardening; Quilting; Puzzles; Domino Games; Darts and Corn Hole Toss; Yearly Parties; Day Trips; Picnic Days In The Park; Dinner Night Out,60+ years,Mon - Fri: 7:00 am - 3:00 pm
Daphne Senior Center,2605 Highway 98Daphne AL 36526,(251) 621-3703,Jane Ellis,jellis@daphneal.com,http://www.daphneal.com,All Senior Center activities are held at the Daphne Senior Center unless otherwise noted. Come and enjoy a fun social atmosphere and learn new skills.,,Nutrition Program; Birthday Party; Blood Pressure Check; Bocce; Bridge Games; Cards; Mahjongg; Pickleball; Potluck; Bingo; Fit 'N Fun; Tai Chi; Chair Yoga; Floor Yoga; Cardio Yoga; Bocce; Pickleball,,Mon - Fri: 9:00 am - 4:00 pm
Coosa River Senior Center,13214 Holtville RoadDeatsville AL 36022,(334) 569-3111,,NOMAIL,http://www.caaofca.org/,Senior Programs are for seniors over the age of 62 or disabled individuals.,,Senior Activities; Meals; Home-Bound Meals; Recreational and Social Services,62+ years,
Turner-Surles Senior Center,702 Sycamore Street NWDecatur AL 35601,(256) 341-4980,,NOMAIL,http://www.co.morgan.al.us,Commission on Aging is a program designed to provide services for the senior citizens of Morgan County. The centers are open daily from 8am until 1pm. Lunch is served as part of a USDA Nutrition program for both the people that come to the centers and our homebound elderly each day. Anyone who is sixty years of age (or married to someone that is sixty years of age) is eligible to participate in the activities at the senior centers. Activities include games quilting puzzles day trips exercise classes and just about anything that the group wants to do. The environment is safe and friendly,,Meals; Games; Quilting; Puzzles; Day Trips; Exercise Classes,60+ years,Mon - Fri: 8:00 am - 1:00 pm
West Alabama Senior Center,500 E Washington StDemopolis AL 36732,(334) 289-5789,,NOMAIL,"data-table",,,Nutrition Health and Education Programs,60+ years,
Dixons Mills Senior Center,P.O. Box 212Dixons Mills AL 36736,(334) 830-8802,Rosie Moore,NOMAIL,"data-table",,,Nutrition Health and Education Programs,60+ years,
Baptist Village Senior Center,4426 West Main St.Dothan AL 36305,(334) 792-4367,Michelle Green,BVSeniorCenter@outlook.com,"data-table",,,Hot Meals Home Delivered Meals Bingo Exercise Games Health Screenings Shopping Trips Village Voices Dominos A Heart for Art - Craft and Sewing Time,60+ years,Mon - Fri: 8:00 am - 1:00 pm
Rose Hill Senior Adult Center,401 South Appletree StDothan AL 36301,(334) 615-3740,Debbie Reed,djreed@dothan.org,http://www.dothan.org,This senior adult program is specifically designed for individuals 50 years and older however you must be 60 or older to qualify for the meal program. Rose Hill Center is a wonderful place to feel "at home" and in the company of friends. Various activities and programs are provided to meet the needs of senior adults in the Dothan community,,Instructional Classes for Computer Exercise Golf and Tennis; Bingo; Dominoes; Cards; Arts and Crafts; Quilting; Guest Speakers,50+ years,Mon - Fri: 8:00 am - 4:00 pm
Double Springs Senior Center,635 Blake Dr.Double Springs AL 35553,(205) 489-5479,Louise Adkins,NOMAIL,http://www.townofdoublesprings.com,The Senior Center is the perfect place to meet others enjoy a good cup of coffee and participate in many activities which include; playing cards bingo a game of billiards and water aerobics. Lots of laughs and fun so please join us! Each year the seniors participate in The Senior Appreciation Day held in May.,,Meals; Cards; Bingo; Billiards; Water Aerobics,60+ years,Mon - Fri: 8:30 am - 2:00 pm
Jan Cook Community Center,7712 South Main StreetDozier AL 36028,(334) 496-3888,,NOMAIL,"data-table",,,,,Mon - Fri: 7:00 am - 12:30 pm
Eclectic Senior Center,19 Fleahop RoadEclectic AL 36024,(334) 541-3917,Minnie Johnson,NOMAIL,http://www.townofeclectic.com,The Senior Center operates from 8:00 a.m. - 12:00 p.m. Monday thru Friday except for holidays,,Bingo; Dominos; Entertainment; Seminars; Daily Meals; Handi-capped van pick up to and from the Senior Center daily for those who live within an approximate 5 mile radius; Homebound Meals,,Mon - Fri: 8:00 am - 12:00 pm
Damascus Senior Center,129 County Road 514Elba AL 36323,(334) 894-5211,Margaret Waters,damascussc@co.coffee.al.us,https://www.coffeecounty.us/,,,Hot Meals; Home Delivered Meals; Transportation; Dominoes; Bingo; Videos; Monthly Birthday Party; Field Trips; Walk Alabama; Thanksgiving &amp; Christmas Covered Dish,60+ years,Mon - Fri: 7:30 am - 1:30 pm
Elba Senior Citizens Center,304 Factory StreetElba AL 36323,(334) 897-3019,Donna Falls,NOMAIL,https://www.elbaalabama.net/,Come join in the fun and fellowship at the Elba Senior Citizens Center located across from the street from the Elba Police Department. The center is open Monday - Friday with nutritious meals served each day of the week. Participants can enjoy games and more at the center as well as go on several annual trips.,,Nutritious Meals; Games; Trips,,Mon - Fri: 7:30 am - 3:30 pm
Pine Level Senior Center,63 County Road 355Elba AL 36323,(334) 897-2621,Debbie Pearce,pinelevelsrc@live.com,https://www.coffeecounty.us/,,,Hot Meals; Home Delivered Meals; Transportation; Dominoes; Bingo; Cards; Board Games,60+ years,Mon - Fri: 8:30 am - 1:30 pm
Elkmont Senior Center,25460 Railroad StreetElkmont AL 35620,(256) 732-4777,Jan Miller,NOMAIL,http://www.limestonecounty-al.gov,Elkmont Senior Center hosts daily activities for seniors from 8:00 A.M. till Noon Monday through Friday. Hot lunchtime meals Frozen Meals and Meals on Wheels come from this location,,Nutrition Services; Health Promotion/Fitness Programs; Transportation; Education Activities; Local Information/Referral Services; Arts &amp; Crafts,60+ years,Mon - Fri: 8:00 am - 12:00 pm
Enterprise Senior Center,2401 Neil Metcalf RoadEnterprise AL 36330,(334) 347-3513,Leta Muraski,NOMAIL,https://www.enterpriseal.gov/,The Enterprise Senior Center provides a place where our senior community can meet and pursue mutual interests receive educational and nutritional services participate in social and recreational activities that will enhance their lives support and maintain their independence and encourage their continued involvement in and with the community.,There are no fees to become a member of the Enterprise Senior Center but donations are greatly appreciated. Donations are used to accomplish day to day operations within the Senior Center.,Congregate Meals &amp; Home Delivered Meals; Transportation; Information; Assistance; Outreach; Public Education; Health Promotion; Recreational Activities: Games Arts &amp; Craft Projects; Social functions within the center breakfast covered dish dinners Halloween Party sponsored by Literary Club Singings and the annual Christmas party; Older Americans Day sponsored by SARCOA for all senior centers in the southern district of Alabama; Dinner trips to local and out of town restaurants; Local and out of town trips such as Lady Anderson Cruise in Panama City Swamp Gravy Plays in Colquitt Georgia or the Alabama Shakespeare Festival in Montgomery Quilting,60+ years,Mon - Fri: 7:30 am - 4:30 pm
Mt. Pleasant Senior Center,388 County Rd. 650Enterprise AL 36330,(334) 393-7874,Debbie Dubose,mtpleasrct@roadrunner.com,https://www.coffeecounty.us/,,,Hot Meals; Home Delivered Meals; Transportation; Dominoes; Rummikub; Bingo; Exercise; Cards,60+ years,Mon - Fri: 9:00 am - 2:00 pm
Jaxon Life Senior Center (Eufaula Senior Center),14 Community DriveEufaula AL 36027,(334) 232-7813,Jackie Hunt,eufaulaseniorcenter@gmail.com,https://eufaulaalabama.com/,,,Hot Meals; Home Delivered Meals; Transportation; Dominoes; Quilting; Arts &amp; Crafts; Board Games; Health Fairs; Exercise Sessions; Covered Dish Dinners; Variety of Holiday Dinners; Parties,,Mon - Fri: 8:00 am - 2:00 pm
Eutaw Senior Activity Center,107 Harris AveEutaw AL 35462,(205) 496-5080,Cassandra Young,NOMAIL,"data-table",,,Meals; Nutrition Health and Public Education Programs and Activities,60+ years,Mon - Fri: 9:00 am - 1:00 pm
Eva Senior Center,3824 Eva RoadEva AL 35621,(256) 796-2277,,NOMAIL,http://www.co.morgan.al.us,Commission on Aging is a program designed to provide services for the senior citizens of Morgan County. The centers are open daily from 8am until 1pm. Lunch is served as part of a USDA Nutrition program for both the people that come to the centers and our homebound elderly each day. Anyone who is sixty years of age (or married to someone that is sixty years of age) is eligible to participate in the activities at the senior centers. Activities include games quilting puzzles day trips exercise classes and just about anything that the group wants to do. The environment is safe and friendly.,,Meals; Games; Quilting; Puzzles; Day Trips; Exercise Classes,60+ years,Mon - Fri: 8:00 am - 1:00 pm
Evergreen Senior Center,711 Rural StEvergreen AL 36401,(251) 578-7218,,NOMAIL,"data-table",,,Nutrition Health and Education Programs,60+ years,
Excel Senior Center,99 Hwy 136 EExcel AL 36439,(251) 765-2264,,NOMAIL,"data-table",,,Nutrition Health and Education Programs,60+ years,
James P. Nix Senior Activity Center,1 Bayou DriveFairhope AL 36532,(251) 928-2835,Jim Bates,NOMAIL,https://www.fairhopeal.gov/,The beautiful James P. Nix Senior Activity Center is located at 1 Bayou Drive in Fairhope providing daily activities for anyone over the age of 50. It was named by the City Council in honor of the city’s former mayor of 28 years James P. Nix. The center officially opened its doors in December of 1997. In the ensuing years this unique center has increased its membership from approximately 650 to over 1200. People from nearly every state in the union have visited as well as people from Japan Nigeria Costa Rica Sweden Guatemala and France. Contingencies from other states have come from as far away as Michigan to see the center and to gather information on how to build a successful Senior Center.,Annual membership is $25 per year per member.,Potluck Luncheons; Bridge (Party &amp; Duplicate); Hand And Foot; Ma Jong; Dominoes; Pool &amp; Billiards; Ballroom Dancing; Line Dancing; Karaoke; Support Groups; Ice Cream Socials; Birthday Parties; Blood Pressure Screenings,50+ years,Mon - Fri: 8:00 am - 5:00 pm
Falkville Senior Center,1076 Culver RoadFalkville AL 35622,(256) 784-5909,,NOMAIL,http://www.co.morgan.al.us,Commission on Aging is a program designed to provide services for the senior citizens of Morgan County. The centers are open daily from 8am until 1pm. Lunch is served as part of a USDA Nutrition program for both the people that come to the centers and our homebound elderly each day. Anyone who is sixty years of age (or married to someone that is sixty years of age) is eligible to participate in the activities at the senior centers. Activities include games quilting puzzles day trips exercise classes and just about anything that the group wants to do. The environment is safe and friendly,,Meals; Games; Quilting; Puzzles; Day Trips; Exercise Classes,60+ years,Mon - Fri: 8:00 am - 1:00 pm
Fayette Senior Activity Center,125 2nd Avenue NWFayette AL 35555,(205) 932-2666,Fay Maharg,NOMAIL,http://fayetteal.org/,The Senior Centers provide hot nutritious meals assistance programs educational programs activities and services as well as some health screening services along with a chance to socialize with peers. Transportation is provided to the Center daily for a variety of activities and meal. Activities may include music stationary bike games puzzles special speakers recreational and shopping trips. The Senior Center offers Home Delivered Meals that are specifically designed for home-bound persons in need of hot nutritious meals. Frozen meals are also available as are Homemaker Services to those that are home-bound.,,Hot Nutritious Meals; Assistance Programs; Educational Programs; Activities; Health Screening Services; Transportation,60+ years,Mon - Fri: 8:00 am - 12:00 pm
Mayfair Manor Senior Activity Center,705 7th St. NEFayette AL 35555,(205) 932-2362,Wilma Hannah,NOMAIL,"data-table",,,Meals; Nutrition Health and Public Education Programs and Activities,60+ years,Mon - Fri: 8:00 am - 1:00 pm
Newtonville Senior Activity Center,431 Center RoadFayette AL 35555,(205) 932-6504,Rosiland Peoples,NOMAIL,"data-table",,,Meals; Nutrition Health and Public Education Programs and Activities,60+ years,Mon - Fri: 8:00 am - 1:00 pm
Florala Senior Center,1338 4th StreetFlorala AL 36442,(334) 858-3310,Sue Brooks,scitizens@fairpoint.net,"data-table",,,Hot Meals; Home Delivered Meals; Transportation; Bingo; Board Games; Dominoes; Quilting; 4th of July Fish Fry,60+ years,Mon - Fri: 8:00 am - 2:00 pm
Florence Senior Center - The Club,450 Country Club DriveFlorence AL 35633,(256) 760-6420,Fran Davis,fdavis@florenceal.org,http://www.fpard.com,Where Boomers and Seniors Come Together As ONE,,Chair Exercise Class; Bingo; Nutrition Program; Palz; Square Dance Classes; Board Games; Rook; Card Games; Dominoes; Rummycubes LRC,60+ years,Mon - Fri: 8:00 am - 5:00 pm
Greenhill Senior Center,8731 Highway 43Florence AL 35630,(256) 757-9520,Debbie Moody,NOMAIL,"data-table",,,,60+ years,Mon - Fri: 8:30 am - 12:30 pm
Saint Florian Senior/Community Center,81 Saint Florian RoadFlorence AL 35634,(256) 760-6660,,NOMAIL,http://www.stflorianalabama.com/,,,Bingo; Potluck Dinner &amp; Music,,Mon Wed Fri: 9:00 am - 1:00 pm
Foley Senior Center,304 E. Rose AveFoley AL 36535,(251) 943-1877,Teresa Neese,tneese@cityoffoley.org,https://cityoffoley.org/,The mission of the City of Foley Senior Center is to provide opportunities for the “young at heart” to meet and enjoy a wide variety of social educational health and recreational activities while promoting the positive aspects of senior status to them their families and the community at large.,Membership is available to those who are 50 years of age or older. Our membership fees are $11.00 per year,Crochet &amp; Knitting; Yoga; Bridge; Line Dance; Square Dance; Pinochle; T.O.P.S; Hand &amp; Foot; Mexican Train; Bingo,50+ years,Mon - Fri: 8:00 am - 4:00 pm; Saturday Night Dance: 7:00 pm - 10:00 pm
Forkland Senior Activity Center,13327 US Hwy 43Forkland AL 36740,(334) 287-0951,Sally Spencer,NOMAIL,"data-table",,,Meals; Nutrition Health and Public Education Programs and Activities,60+ years,Mon - Fri: 8:00 am - 1:00 pm
Fort Deposit Senior Center,308 Old Fort RoadFort Deposit AL 36032,(334) 404-4444,,NOMAIL,"data-table",,,,,Mon - Fri: 9:00 am - 1:00 pm
Russell County Senior Center,540 Hwy 165Fort Mitchell AL 36856,(334) 297-9101,Patricia Johnson,NOMAIL,http://www.lrcog.com/,Centers serve as a community focal point where an array of services and programs can be channeled to individuals who are 60 or older. The service is free but donations are accepted.,,Social Activities; Nutrition Education; Health Counseling; Consumer Education; Recreation and Exercise; Hot Meals; Information and Referral,60+ years,
Fort Payne/DeKalb County Senior Center,600 Tyler Avenue SEFort Payne AL 35967,(256) 845-8590,,NOMAIL,http://www.dekalbcountyal.us/,The Fort Payne / DeKalb County Senior Center serves as the focal point for all activities for senior citizens in DeKalb County. The center provides activities which enhance the senior’s dignity support independence and encourage involvement in and with the community. The program consist of a variety of services in such areas as education creative arts recreation advocacy employment health wellness nutrition volunteerism and other supportive services. The center also serves as a community resource for information on aging and for developing new approaches to aging programs.,,Education; Creative Arts; Recreation; Advocacy; Employment; Health; Wellness Nutrition; Volunteerism; Other Supportive Services,60+ years,
Frisco City Senior Center,4336 Bowden StFrisco City AL 36445,(251) 282-8438,Margaree Carter,NOMAIL,"data-table",,,Nutrition Health and Education Programs,60+ years,
Fruithurst Senior Center,48 School StreetFruithurst AL 36262,(256) 579-2105,Charlotte Funderburk,NOMAIL,"data-table",,,,,
Fyffe Senior Center,413 Graves StreetFyffe AL 35971,(256) 623-2148,Carmie Pettry,NOMAIL,"data-table",,,Nutrition Services; Health Promotion/Fitness Programs; Transportation; Education Activities; Local Information/Referral Services; Arts &amp; Crafts,60+ years,
Carver Senior Center,1030 Tuscaloosa AveGadsden AL 35901,(256) 549-4767,Delma Smith,NOMAIL,http://www.cityofgadsden.com/,The home of one of our senior adult nutrition programs we work to provide nourishing and healthy meals to all of our senior community.,,,,
Elliott Senior Center,2829 West Meighan Blvd.Gadsden AL 35904,(256) 549-4735,Lisa Pierce,NOMAIL,http://www.cityofgadsden.com/,The home of one of our senior adult nutrition programs we work to provide nourishing and healthy meals to all of our senior community,,,,
Lookout Mountain Senior Center,4567 Lay Springs RoadGadsden AL 35904,(256) 543-7813,Sandy Dyer,NOMAIL,"data-table",,,,,
Gainesville Senior Center,9028 State StGainesville AL 35464,(205) 609-8047,Earlean Payne,NOMAIL,"data-table",,,Nutrition Health and Education Programs,60+ years,
Gardendale Senior Center,861 Main StreetGardendale AL 35071,(205) 631-7240,Peggy Burgess,gardendaleseniorcenter@yahoo.com,https://cityofgardendale.com/,Located at 861 Main Street the Gardendale Senior Center offers many activities tailored to the needs and abilities of our patrons.Every day there are card games dominoes board games and puzzles in the sun rooms and lounge.,,Bingo; Bridge Club; Bunko; Tai Chi; Book Club; Cards; Dominoes; Scrabble; Wii Bowling; Seasonal Parties; Birthday Potlucks; Special Entertainment,,
Geneva Senior Center,105 N Washington StreetGeneva AL 36340,(334) 684-3626,Robbie Owens,NOMAIL,https://www.cityofgeneva.com/,Motto: "Seniors Gone Wild". The Geneva Senior Citizens Center provides a place that our senior community can meet and pursue mutual interests receive educational and nutritional services participate in social and recreational activities that will enhance their lives support and maintain independence and encourage their involvement in and with the community.,Anyone 60 years of age and older can become a member of the Geneva Senior Center. There is no membership fee,Center and Home-Bound Meal Program; Dominoes; Billiards; Exercise Classes; Wii Bowling; Bingo; Red Hat Society; Educational Classes; Karaoke; Computer Classes; Bible Study; Covered Dishes; Shopping; Dances; Trips to plays movies and concerts; Arts and Crafts; Ms. Senior Geneva County Pageant,60+ years,Mon - Fri: 7:00 am - 3:00 pm
Georgiana Multipurpose Senior Center,306 Palmer AvenueGeorgiana AL 36033,(334) 376-9742,,NOMAIL,"data-table",,,,,Mon - Fri: 9:00 am - 2:00 pm
Geraldine Senior Center,152 Old Mill StreetGeraldine AL 35974,(256) 659-4068,Annette Rowell,NOMAIL,http://www.townofgeraldineal.com,The Town of Geraldine and the DeKalb County Council on Aging partnership to provide a safe and exciting environment where senior citizens age 60 and over meet to socialize share play games and other fun activities. A nutritious and well-balanced lunch is served at 11:00 a.m. each day. Transportation may be provided call the center for more information. Your presence is welcomed and appreciated very much in helping your local senior center grow. The Senior Center provides a place to stay in touch with friends and develop new friendships. Anyone age 60 or over is invited to come and join in.,,Nutrition Services; Health Promotion/Fitness Programs; Transportation; Education Activities; Local Information/Referral Services; Arts &amp; Crafts,60+ years,Mon - Fri: 8:00 am - 12:00 pm
Gilbertown Senior Center,51 East High StGilbertown AL 36908,(251) 843-2885,,NOMAIL,"data-table",,,Nutrition Health and Education Programs,60+ years,
George Wallace Senior Center,407 Hollingsworth Park LaneGlencoe AL 35905,25649249110,Pat Hill,pathill@cityofglencoe.net,http://www.cityofglencoe.net,Our Activities are for all Seniors 50 years and older except the Nutrition Program which is for People 60 years of age or older,,Walking; Nutrition Program; Exercise Class; Mini Workshops; Pool Playing; Table Games; Bingo; Tops: Take Off Pounds Sensibly; Fellowship Dinner; RSVP; V.F.W,50+ years,
Goodwater Senior Center,431 Clay StreetGoodwater AL 35072,(256) 839-5653,Shirley Smoot,NOMAIL,http://www.coosacountyal.com/,Coosa County Senior Centers offer a wide selection of daily events and activities classes fitness and wellness programs. The Senior Centers are great places for fun exercise activities wellness programs and camaraderie. Visit us to relax socialize and immerse yourself in wellness creativity intellectual stimulation volunteerism and community.,,Exercise Activities Wellness Programs,,
Gordo Senior Activity Center,228 Main StreetGordo AL 35466,(205) 364-7966,Mildred Skelton,NOMAIL,"data-table",,,Meals; Nutrition Health and Public Education Programs and Activities,60+ years,Mon - Fri: 8:30 am - 12:30 pm
Goshen Multipurpose Senior Center,535 Montgomery StreetGoshen AL 36035,(334) 484-3244,,NOMAIL,"data-table",,,,,Mon - Fri: 8:30 am - 12:30 pm
Bradleyton-Helicon Multipurpose Senior Center,55 East Helicon RoadGrady AL 36036,(334) 537-9520,,NOMAIL,"data-table",,,,,Mon - Fri: 8:30 am - 1:30 pm
Grant Senior Center,307 2nd Ave WGrant AL 35747,(256) 728-2513,Tim Tingle,NOMAIL,"data-table",Grant Senior Center is a place for adults 60 + to come and play games and do arts and crafts. Lunch is served M-F at 11 a.m.,,Nutrition Services; Health Promotion/Fitness Programs; Transportation; Education Activities; Local Information/Referral Services; Arts &amp; Crafts,60+ years,Mon - Thurs: 7:30 am - 12:00 pm; Fri: 9:00 am - 5:00 pm
Greensboro Senior Activity Center,6400 Hwy 14 EGreensboro AL 36744,(334) 341-0104,Sarah Banks,NOMAIL,"data-table",,,Meals; Nutrition Health and Public Education Programs and Activities,60+ years,Mon - Fri: 9:00 am - 1:00 pm
Camellia Senior Center,111 Bolling StreetGreenville AL 36037,(334) 382-5670,Cathy Brown,NOMAIL,http://www.greenville-alabama.com,Camellia Senior Center has a schedule of recreational educational and informative programs. The center is open daily Monday through Friday from 8:30 a.m. until 5:00 p.m. and evening game nights which are the second Tuesday and fourth Thursday of each month. Programs and activities include cards and games quilting classes arts &amp; crafts health and wellness programs guest speakers with infomration of interest to seniors weight program legal services special events and activities. We are constantly striving to improve and expand our programs. If there are programs you would like to see included or would like to lead please contact any staff member. This program is sponsored by the City of Greenville for our citizens to enjoy.,,Cards and Games; Quilting Classes; Arts &amp; Crafts; Health and Wellness Programs; Guest Speakers; Weight Program; Legal Services; Special Events and Activities,,Mon - Fri: 8:30 am - 5:00 pm
Greenville Multipurpose Senior Center,903 Cedar StreetGreenville AL 36037,(334) 382-6005,Cathy Brown,NOMAIL,http://www.greenville-alabama.com,The Greenville Nutrition Center serves nutritional hot lunch meals on site five days a week for persons 60 years of age and above. In addition to on-site meals a limited number of hot meals are served to "home bound" seniors within the city limits of Greenville. The participants at the Greenville Nutrition Center also enjoy fellowship dominoes card games singing exercise quilting health checks puzzles legal aid services guest speakers and other various activities. Greenville Nutrition Center provides transportation to and from the nutrition center for eligible seniors within the Greenville city limits. Other transporation services are available on a limited basis. Handicap accessible transportation is now available to Greenville seniors.,,Meals; Fellowship; Dominoes; Card Games; Singing; Exercise; Quilting; Health Checks; Puzzles; Legal Aid Services; Guest Speakers; Transportation,60+ years,Mon Wed Thurs: 9:00 am - 12:30 pm; Tues Fri: 9:00 am - 2:00 pm
Grove Hill Senior Center,113 Clarke StGrove Hill AL 36451,(251) 275-4256,,NOMAIL,http://www.grovehillalabama.com/,,,Nutrition Health and Education Programs,60+ years,
Collins Life Center,581 14th St NorthGuin AL 35563,(205) 468-2082,Becky Benton,collinslifecenter@yahoo.com,https://www.guinal.org/,Guin is the home to the very first of its kind senior center/safe shelter in the United State.The Collins Life Center provides wonderful activities for community members from age 60 and beyond. This building includes a large multi-purpose room library computer lab card room and a warming kitchen. Activities include but are not limited to group exercise free computer classes group music and singing as well as games. There are activities going on daily. Lunch is also served daily with deliveries being made to the community's home-bound seniors. There is a well stocked library of books to check out and a computer lab with internet access. Computer classes are held at different times to help individuals learn their way around a computer.,,Lunch; Group Exercise; Free Computer Classes; Group Music and Singing; Games; Library,60+ years,Mon - Fri: 9:00 am - 1:00 pm
Guntersville Senior Center,1503 Sunset DriveGuntersville AL 35976,(256) 505-3000,Reita Graham,reita.graham@guntersvilleal.org,https://guntersvilleal.org/,The Guntersville Senior Center is a lakeside multipurpose center opened Monday through Friday with programs available for the seniors of our community. A variety of educational recreational and arts and crafts activities are offered on a weekly basis. Health screenings are offered periodically and variety of social functions are offered throughout the year. Transportation is provided to and from the Senior Center on request.,,Nutrition Services; Health Promotion/Fitness Programs; Transportation; Education Activities; Local Information/Referral Services; Arts &amp; Crafts,60+ years,Mon - Fri: 8:00 am - 4:00 pm
Hackleburg Senior Center,125 Ray RoadHackleburg AL 35504,(205) 935-3545,Beth McCarley,NOMAIL,"data-table",,,,60+ years,Mon Wed Fri: 9:00 am - 1:00 pm
